num_epochs;batch_size;hidden_size;learning_rate;lr_decay;reg;norm_layer;history_loss_train;history_loss_validation;best_model_valid_accuracy;early_stopped_valid_accuracy;is_early_stopped;train_valid_loss_hist_plot_path;valid_accuracy_plot_path;path_pre_train_filter_plots;path_post_train_filter_plots;best_model_test_accuracy;early_stopped_best_accuracy
5;200;[128, 512, 512, 512, 512];0.002;0.9;0.001;BN;[0.008155410031883085, 0.006118224954118534, 0.005254843203388915, 0.004617824157890009, 0.004016222491556284];[0.008828925013542176, 0.005978036761283874, 0.007126580953598022, 0.004427944660186768, 0.003763885736465454];75.0;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.002_0.9_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.002_0.9_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.002_0.9_0.001.png;./post_training_filters/post_training_filters_5_200_0.002_0.9_0.001.png;74.7;nan
5;200;[128, 512, 512, 512, 512];0.002;0.9;0.005;BN;[0.008380889469263506, 0.007085839816502163, 0.006428016738015779, 0.00563191682100296, 0.005006772937823315];[0.00862289559841156, 0.008530430436134339, 0.005623940706253052, 0.00495777040719986, 0.004423347115516662];69.1;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.002_0.9_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.002_0.9_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.002_0.9_0.005.png;./post_training_filters/post_training_filters_5_200_0.002_0.9_0.005.png;68.1;nan
5;200;[128, 512, 512, 512, 512];0.01;0.99;0.001;BN;[0.009439411927242668, 0.006847058853324579, 0.006145424701729599, 0.005791650418116122, 0.005631693736631043];[0.006980228662490845, 0.006432541370391846, 0.006427512049674988, 0.004988459885120392, 0.01641853404045105];65.8;28.4;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.01_0.99_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.01_0.99_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.01_0.99_0.001.png;./post_training_filters/post_training_filters_5_200_0.01_0.99_0.001.png;31.3;31.3
5;200;[128, 512, 512, 512, 512];0.01;0.99;0.005;BN;[0.010180294552627875, 0.0075323262579587045, 0.00697563619759618, 0.006704050441177524, 0.006567859150925461];[0.008029154539108276, 0.014487508535385132, 0.0070542218685150145, 0.01488334321975708, 0.009151597023010254];49.9;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.01_0.99_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.01_0.99_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.01_0.99_0.005.png;./post_training_filters/post_training_filters_5_200_0.01_0.99_0.005.png;33.8;nan
5;200;[128, 512, 512, 512, 512];0.01;0.95;0.001;BN;[0.009639963544144923, 0.006888870317108777, 0.006092958540332561, 0.005734082378903214, 0.0054958298632076805];[0.009694574356079101, 0.006722042918205261, 0.007070959329605103, 0.004933754444122315, 0.005319113910198211];65.2;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.01_0.95_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.01_0.95_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.01_0.95_0.001.png;./post_training_filters/post_training_filters_5_200_0.01_0.95_0.001.png;61.8;nan
5;200;[128, 512, 512, 512, 512];0.01;0.95;0.005;BN;[0.009934671168424645, 0.007411487579345703, 0.006771143908403358, 0.006567476270150165, 0.00640267462633094];[0.008724101901054382, 0.008864533424377442, 0.006874849796295166, 0.006786280989646912, 0.006067971587181091];57.5;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.01_0.95_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.01_0.95_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.01_0.95_0.005.png;./post_training_filters/post_training_filters_5_200_0.01_0.95_0.005.png;58.4;nan
5;200;[128, 512, 512, 512, 512];0.01;0.9;0.001;BN;[0.009401649973830398, 0.0066997800603204845, 0.005997584429322457, 0.00557276093594882, 0.005283133837641502];[0.007040760278701782, 0.006073042392730713, 0.005592354774475098, 0.004796411812305451, 0.004727932274341583];68.0;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.01_0.9_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.01_0.9_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.01_0.9_0.001.png;./post_training_filters/post_training_filters_5_200_0.01_0.9_0.001.png;67.8;nan
5;200;[128, 512, 512, 512, 512];0.01;0.9;0.005;BN;[0.009885706830997857, 0.007416159950957006, 0.006810080837230293, 0.006522151947021484, 0.006291707824687569];[0.00869447660446167, 0.007937294840812683, 0.007141555070877075, 0.00629682719707489, 0.006316740870475769];57.1;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.01_0.9_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.01_0.9_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.01_0.9_0.005.png;./post_training_filters/post_training_filters_5_200_0.01_0.9_0.005.png;55.5;nan
5;400;[128, 512, 512, 512, 512];0.001;0.99;0.001;BN;[0.003799610133093547, 0.002736078925975939, 0.0023485525194706955, 0.0021362110451469576, 0.002008939752491509];[0.003011280000209808, 0.002746165692806244, 0.0021597206592559814, 0.0019103199243545531, 0.0019131656487782797];73.8;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.001_0.99_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.001_0.99_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.001_0.99_0.001.png;./post_training_filters/post_training_filters_5_400_0.001_0.99_0.001.png;72.9;nan
5;400;[128, 512, 512, 512, 512];0.001;0.99;0.005;BN;[0.0038984494795644186, 0.0029778923590977986, 0.0027287899878451496, 0.002600926526678287, 0.002500093257039543];[0.0032653467853864036, 0.0034215253591537475, 0.002891971170902252, 0.0025747730831305188, 0.0024027845760186514];67.0;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.001_0.99_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.001_0.99_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.001_0.99_0.005.png;./post_training_filters/post_training_filters_5_400_0.001_0.99_0.005.png;65.64;nan
